"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 11 15:01:08 UTC 2026","Tue Aug 11 15:01:15 UTC 2026","7089","","org.example.auth.AuthSessionTest","","org.example.auth.AuthSessionTest","session_persistsAfterPageRefresh","CAUTH-SESSION-02: сессия сохраняется при обновлении страницы (F5)",""
"passed","Tue Aug 11 15:01:38 UTC 2026","Tue Aug 11 15:01:42 UTC 2026","3589","","org.example.auth.AuthSecurityTest","","org.example.auth.AuthSecurityTest","loginWithSqlInjectionLikeInput_doesNotBypassValidation","CAUTH-SEC-01: SQL-injection-подобная строка в email/пароль не обходит валидацию",""
"passed","Tue Aug 11 15:01:27 UTC 2026","Tue Aug 11 15:01:32 UTC 2026","5391","","org.example.auth.AuthSmokeTest","","org.example.auth.AuthSmokeTest","loginWithValidCredentials_succeedsAndReachesAuthenticatedArea","CAUTH-SMOKE-01: успешный вход валидными кредами",""
"passed","Tue Aug 11 15:01:15 UTC 2026","Tue Aug 11 15:01:19 UTC 2026","3683","","org.example.auth.AuthSessionTest","","org.example.auth.AuthSessionTest","protectedRoute_withoutSession_redirectsToLogin","CAUTH-SESSION-01: прямой заход на защищённый маршрут без сессии редиректит на вход",""
"passed","Tue Aug 11 15:00:40 UTC 2026","Tue Aug 11 15:00:44 UTC 2026","3770","","org.example.auth.AuthNegativeTest","","org.example.auth.AuthNegativeTest","loginWithEmptyEmail_buttonStaysDisabled","CAUTH-NEG-03: пустой email -> кнопка «Войти» остаётся disabled",""
"passed","Tue Aug 11 15:00:52 UTC 2026","Tue Aug 11 15:01:00 UTC 2026","8208","","org.example.auth.AuthNegativeTest","","org.example.auth.AuthNegativeTest","loginWithUnregisteredEmail_showsError","CAUTH-NEG-02: незарегистрированный email",""
"passed","Tue Aug 11 15:00:44 UTC 2026","Tue Aug 11 15:00:48 UTC 2026","4479","","org.example.auth.AuthNegativeTest","","org.example.auth.AuthNegativeTest","loginWithInvalidPassword_showsError","CAUTH-NEG-01: неверный пароль",""
"passed","Tue Aug 11 15:00:48 UTC 2026","Tue Aug 11 15:00:52 UTC 2026","3573","","org.example.auth.AuthNegativeTest","","org.example.auth.AuthNegativeTest","loginWithInvalidEmailFormat_buttonStaysDisabled","CAUTH-NEG-06: невалидный формат email -> кнопка «Войти» остаётся disabled",""
"passed","Tue Aug 11 15:01:32 UTC 2026","Tue Aug 11 15:01:38 UTC 2026","6176","","org.example.auth.AuthSecurityTest","","org.example.auth.AuthSecurityTest","loginWithXssLikePassword_doesNotExecuteScript","CAUTH-SEC-02: XSS-подобная строка в пароле не исполняется",""
"passed","Tue Aug 11 15:01:19 UTC 2026","Tue Aug 11 15:01:27 UTC 2026","7809","","org.example.auth.AuthLogoutTest","","org.example.auth.AuthLogoutTest","logout_afterValidLogin_returnsToLoginForm","CAUTH-LOGOUT-01: logout возвращает на форму входа",""
"passed","Tue Aug 11 15:01:04 UTC 2026","Tue Aug 11 15:01:08 UTC 2026","3883","","org.example.auth.AuthUiTest","","org.example.auth.AuthUiTest","passwordVisibilityToggle_showsAndHidesPassword","CAUTH-UI-01: показать/скрыть пароль (иконка глаза)",""
"passed","Tue Aug 11 15:01:00 UTC 2026","Tue Aug 11 15:01:04 UTC 2026","3882","","org.example.auth.AuthNegativeTest","","org.example.auth.AuthNegativeTest","loginWithEmptyPassword_buttonStaysDisabled","CAUTH-NEG-04: пустой пароль -> кнопка «Войти» остаётся disabled",""
"passed","Tue Aug 11 15:00:29 UTC 2026","Tue Aug 11 15:00:40 UTC 2026","10604","","org.example.auth.AuthNegativeTest","","org.example.auth.AuthNegativeTest","loginWithBothFieldsEmpty_buttonStaysDisabled","CAUTH-NEG-05: оба поля пустые -> кнопка «Войти» остаётся disabled",""
